Time (s),Altitude (m),Velocity (m/s),Angular Velocity (rad/s),Fin Cant Angle (deg)
0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.997757635403516474e+00,0.000000000000000000e+00
1.000000000000000021e-03,9.999997794124711348e+00,-9.084026839670864342e-03,9.995515266065403637e+00,0.000000000000000000e+00
2.000000000000000042e-03,9.999986825640775123e+00,-1.675261158949143542e-02,9.993272835752360805e+00,0.000000000000000000e+00
3.000000000000000062e-03,9.999968510064690008e+00,-2.300542658809228910e-02,9.991030322950040343e+00,0.000000000000000000e+00
4.000000000000000083e-03,9.999944263177701131e+00,-2.784242120709986071e-02,9.988787734174364275e+00,0.000000000000000000e+00
5.000000000000000104e-03,9.999915500811686897e+00,-3.126354481702909444e-02,9.986545097281741334e+00,0.000000000000000000e+00
6.000000000000000125e-03,9.999883638849151879e+00,-3.326874678782770767e-02,9.984302454778628544e+00,0.000000000000000000e+00
7.000000000000000146e-03,9.999850093223232150e+00,-3.385797648866178261e-02,9.982059857130444414e+00,0.000000000000000000e+00
8.000000000000000167e-03,9.999816279917695283e+00,-3.303118328718589181e-02,9.979817356069819567e+00,0.000000000000000000e+00
9.000000000000001055e-03,9.999783614966942125e+00,-3.078831654853507460e-02,9.977574997904193665e+00,0.000000000000000000e+00
1.000000000000000194e-02,9.999753514456008574e+00,-2.712932563427219654e-02,9.975332816822737314e+00,0.000000000000000000e+00
1.100000000000000283e-02,9.999727394520570911e+00,-2.205415990152441441e-02,9.973090828202591851e+00,0.000000000000000000e+00
1.200000000000000372e-02,9.999706671346947573e+00,-1.556276870254451154e-02,9.970849021914441224e+00,0.000000000000000000e+00
1.300000000000000461e-02,9.999692761172108035e+00,-7.655101384938266251e-03,9.968607355627401745e+00,0.000000000000000000e+00
1.400000000000000550e-02,9.999687080283672813e+00,1.668892707193024572e-03,9.966365748113265255e+00,0.000000000000000000e+00
1.500000000000000638e-02,9.999691045019920566e+00,1.240926423093655084e-02,9.964124072550113453e+00,0.000000000000000000e+00
1.600000000000000727e-02,9.999706071769784543e+00,2.456606384084831368e-02,9.961882149825354915e+00,0.000000000000000000e+00
1.700000000000000816e-02,9.999733576972850813e+00,3.813934218367906470e-02,9.959639741838248739e+00,0.000000000000000000e+00
1.800000000000000905e-02,9.999774977119351149e+00,5.312914989137488414e-02,9.957396544802005423e+00,0.000000000000000000e+00
1.900000000000000994e-02,9.999831688750141723e+00,6.953553757219167741e-02,9.955152182545559114e+00,0.000000000000000000e+00
2.000000000000001082e-02,9.999905128456678227e+00,8.735855579979757979e-02,9.952906199815171107e+00,0.000000000000000000e+00
2.100000000000001171e-02,9.999996712880980354e+00,1.065982551002627732e-01,9.950658055576001360e+00,0.000000000000000000e+00
2.200000000000001260e-02,1.000010785871557850e+01,1.272546859368695049e-01,9.948407116313882526e+00,0.000000000000000000e+00
2.300000000000001349e-02,1.000023998270344805e+01,1.493278986927085994e-01,9.946152649337456353e+00,0.000000000000000000e+00
2.400000000000001438e-02,1.000039450163792409e+01,1.728179436510653422e-01,9.943893816081018855e+00,0.000000000000000000e+00
2.500000000000001527e-02,1.000057283236259487e+01,1.977248709736352805e-01,9.941629680821158388e+00,0.000000000000000000e+00
2.600000000000001615e-02,1.000077639177117916e+01,2.240487306766509035e-01,9.939359213319420405e+00,0.000000000000000000e+00
2.700000000000001704e-02,1.000100659680737003e+01,2.517895726050402572e-01,9.937081229196675025e+00,0.000000000000000000e+00
2.800000000000001793e-02,1.000126486446466068e+01,2.809474464047797548e-01,9.934794413710921646e+00,0.000000000000000000e+00
2.900000000000001882e-02,1.000155261178613841e+01,3.115224014936439079e-01,9.932497310845834093e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.000187125586424663e+01,3.435144870305941178e-01,9.930188319863889390e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.000222221384052013e+01,3.769237518840853896e-01,9.927865688704844871e+00,0.000000000000000000e+00
3.200000000000002148e-02,1.000260690290529020e+01,4.117502445996030214e-01,9.925527507392546411e+00,0.000000000000000000e+00
3.300000000000002237e-02,1.000302674029734895e+01,4.479940133667712487e-01,9.923171701450611337e+00,0.000000000000000000e+00
3.400000000000002326e-02,1.000348314330359045e+01,4.856551059863989939e-01,9.920796025327948797e+00,0.000000000000000000e+00
3.500000000000002415e-02,1.000397752925861283e+01,5.247335698378459146e-01,9.918398055834703797e+00,0.000000000000000000e+00
3.600000000000002504e-02,1.000451131554428841e+01,5.652294518471020490e-01,9.915975314952111930e+00,0.000000000000000000e+00
3.700000000000002592e-02,1.000508591958930360e+01,6.071427984559768509e-01,9.913525109414710101e+00,0.000000000000000000e+00
3.800000000000002681e-02,1.000570275886867044e+01,6.504736555927881358e-01,9.911044477446008472e+00,0.000000000000000000e+00
3.900000000000002770e-02,1.000636325090320611e+01,6.952220686449255282e-01,9.908530254564572815e+00,0.000000000000000000e+00
4.000000000000002859e-02,1.000706881325898223e+01,7.413880824336422926e-01,9.905979077880694206e+00,0.000000000000000000e+00
4.100000000000002948e-02,1.000782086354676004e+01,7.889717411913952372e-01,9.903387596699367634e+00,0.000000000000000000e+00
4.200000000000003036e-02,1.000862081942139348e+01,8.379730885420156872e-01,9.900752114809643345e+00,0.000000000000000000e+00
4.300000000000003125e-02,1.000947009858121817e+01,8.883921674839466709e-01,9.898068660333516178e+00,0.000000000000000000e+00
4.400000000000003214e-02,1.001037011876741900e+01,9.402290203767313947e-01,9.895333181178800785e+00,0.000000000000000000e+00
4.500000000000003303e-02,1.001132228135572610e+01,9.928273521308627059e-01,9.892542578636776440e+00,0.000000000000000000e+00
4.600000000000003392e-02,1.001232706615396140e+01,1.045530840233776848e+00,9.889693805300701968e+00,0.000000000000000000e+00
4.700000000000003481e-02,1.001338457831859685e+01,1.098339485242544544e+00,9.886784029947175867e+00,0.000000000000000000e+00
4.800000000000003569e-02,1.001449492300664090e+01,1.151253287633006162e+00,9.883810556040964812e+00,0.000000000000000000e+00
4.900000000000003658e-02,1.001565820537556739e+01,1.204272247819018427e+00,9.880770388037298346e+00,0.000000000000000000e+00
5.000000000000003747e-02,1.001687453058325161e+01,1.257396366170111301e+00,9.877660882623894523e+00,0.000000000000000000e+00
5.100000000000003836e-02,1.001814400378793657e+01,1.310625643027607756e+00,9.874479117243662785e+00,0.000000000000000000e+00
5.200000000000003925e-02,1.001946673014820099e+01,1.363960078719267832e+00,9.871222437603465849e+00,0.000000000000000000e+00
5.300000000000004013e-02,1.002084281482295225e+01,1.417399673572525387e+00,9.867888185899873932e+00,0.000000000000000000e+00
5.400000000000004102e-02,1.002227236297142809e+01,1.470944427926387021e+00,9.864473577073050947e+00,0.000000000000000000e+00
5.500000000000004191e-02,1.002375547975321268e+01,1.524594342142069792e+00,9.860976135692126832e+00,0.000000000000000000e+00
5.600000000000004280e-02,1.002529227032825787e+01,1.578349416612451428e+00,9.857393101244369404e+00,0.000000000000000000e+00
5.700000000000004369e-02,1.002688283985691697e+01,1.632209651770411440e+00,9.853722082680947736e+00,0.000000000000000000e+00
5.800000000000004458e-02,1.002852729349998739e+01,1.686175048096136830e+00,9.849960405992703727e+00,0.000000000000000000e+00
5.900000000000004546e-02,1.003022573641876036e+01,1.740245606123471012e+00,9.846105771366540083e+00,0.000000000000000000e+00
6.000000000000004635e-02,1.003197827377507423e+01,1.794421326445374776e+00,9.842155598868123079e+00,0.000000000000000000e+00
6.100000000000004724e-02,1.003378501073137485e+01,1.848702209718573020e+00,9.838107686786559114e+00,0.000000000000000000e+00
6.200000000000004813e-02,1.003564605245077956e+01,1.903088256667453626e+00,9.833959626641657792e+00,0.000000000000000000e+00
6.300000000000004208e-02,1.003756150409714643e+01,1.957579468087285335e+00,9.829709216540781114e+00,0.000000000000000000e+00
6.400000000000004297e-02,1.003953147083514708e+01,2.012175844846813888e+00,9.825354442190532112e+00,0.000000000000000000e+00
6.500000000000004385e-02,1.004155605782959171e+01,2.066877385448879334e+00,9.820893118196179827e+00,0.000000000000000000e+00
6.600000000000004474e-02,1.004363537024555342e+01,2.121684093784904857e+00,9.816323291940880935e+00,0.000000000000000000e+00
