Iteration	CPUTime	PhysTime	Travels
1	1	0	0.00192307692
5	1	0	0.00961538462
10	2	0	0.0192307692
15	2	0	0.0288461538
20	3	0	0.0384615385
25	3	0	0.0480769231
30	4	0	0.0576923077
35	4	0	0.0673076923
40	4	0	0.0769230769
45	5	0	0.0865384615
50	5	0	0.0961538462
55	6	0	0.105769231
60	6	0	0.115384615
65	7	0	0.125
70	7	0	0.134615385
75	7	0	0.144230769
80	8	0	0.153846154
85	8	0	0.163461538
90	9	0	0.173076923
95	9	0	0.182692308
100	10	0	0.192307692
105	10	0	0.201923077
110	11	0	0.211538462
115	11	0	0.221153846
120	11	0	0.230769231
125	12	0	0.240384615
130	12	0	0.25
135	13	0	0.259615385
140	13	0	0.269230769
145	13	0	0.278846154
150	14	0	0.288461538
155	14	0	0.298076923
160	15	0	0.307692308
165	15	0	0.317307692
170	16	0	0.326923077
175	16	0	0.336538462
180	17	0	0.346153846
185	17	0	0.355769231
190	17	0	0.365384615
195	18	0	0.375
200	18	0	0.384615385
205	19	0	0.394230769
210	19	0	0.403846154
215	20	0	0.413461538
220	20	0	0.423076923
225	20	0	0.432692308
230	21	0	0.442307692
235	21	0	0.451923077
240	21	0	0.461538462
245	22	0	0.471153846
250	22	0	0.480769231
255	23	0	0.490384615
260	23	0	0.5
265	23	0	0.509615385
270	24	0	0.519230769
275	24	0	0.528846154
280	24	0	0.538461538
285	25	0	0.548076923
290	25	0	0.557692308
295	26	0	0.567307692
300	26	0	0.576923077
305	27	0	0.586538462
310	27	0	0.596153846
315	27	0	0.605769231
320	28	0	0.615384615
325	28	0	0.625
330	28	0	0.634615385
335	29	0	0.644230769
340	29	0	0.653846154
345	30	0	0.663461538
350	30	0	0.673076923
355	31	0	0.682692308
360	31	0	0.692307692
365	31	0	0.701923077
370	32	0	0.711538462
375	32	0	0.721153846
380	33	0	0.730769231
385	33	0	0.740384615
390	34	0	0.75
395	34	0	0.759615385
400	34	0	0.769230769
405	35	0	0.778846154
410	36	0	0.788461538
415	36	0	0.798076923
420	36	0	0.807692308
425	37	0	0.817307692
430	37	0	0.826923077
435	38	0	0.836538462
440	38	0	0.846153846
445	38	0	0.855769231
450	39	0	0.865384615
455	39	0	0.875
460	39	0	0.884615385
465	40	0	0.894230769
470	40	0	0.903846154
475	41	0	0.913461538
480	41	0	0.923076923
485	41	0	0.932692308
490	42	0	0.942307692
495	42	0	0.951923077
500	43	0	0.961538462
505	43	0	0.971153846
510	43	0	0.980769231
515	44	0	0.990384615
520	44	0	1
